NAME,SECTOR
12C,SOUTHEAST
05C,NORTHEAST
09H,EAST
MOUNT PLEASANT,CENTRE
SCARBORO/ SUNALTA WEST,CENTRE
TUSCANY,NORTHWEST
CHARLESWOOD,NORTHWEST
CEDARBRAE,SOUTH
GREENWOOD/GREENBRIAR,NORTHWEST
PUMP HILL,SOUTH
COUGAR RIDGE,WEST
SILVER SPRINGS,NORTHWEST
HILLHURST,CENTRE
GLENDALE,WEST
BRIDLEWOOD,SOUTH
WOODBINE,SOUTH
MCKENZIE TOWNE,SOUTHEAST
HIDDEN VALLEY,NORTH
DOWNTOWN WEST END,CENTRE
TARADALE,NORTHEAST
RUNDLE,NORTHEAST
UNIVERSITY HEIGHTS,NORTHWEST
SUNNYSIDE,CENTRE
CAPITOL HILL,CENTRE
BANKVIEW,CENTRE
MONTGOMERY,NORTHWEST
CLIFF BUNGALOW,CENTRE
RIVERBEND,SOUTHEAST
HARVEST HILLS,NORTH
CHINATOWN,CENTRE
TEMPLE,NORTHEAST
BRAESIDE,SOUTH
OGDEN,SOUTHEAST
CITADEL,NORTHWEST
KELVIN GROVE,SOUTH
PENBROOKE MEADOWS,EAST
WALDEN,SOUTH
RAMSAY,CENTRE
MARLBOROUGH,NORTHEAST
POINT MCKAY,CENTRE
RUTLAND PARK,WEST
WEST SPRINGS,WEST
MANCHESTER,CENTRE
GARRISON GREEN,WEST
MACEWAN GLEN,NORTH
DEER RIDGE,SOUTH
MONTEREY PARK,NORTHEAST
DISCOVERY RIDGE,WEST
LOWER MOUNT ROYAL,CENTRE
SOUTHVIEW,EAST
CURRIE BARRACKS,WEST
DEER RUN,SOUTH
BAYVIEW,SOUTH
WILDWOOD,WEST
MILLRISE,SOUTH
CHRISTIE PARK,WEST
RENFREW,CENTRE
NORTH HAVEN UPPER,NORTH
INGLEWOOD,CENTRE
EAGLE RIDGE,SOUTH
LINCOLN PARK,WEST
STRATHCONA PARK,WEST
SOUTHWOOD,SOUTH
DOWNTOWN EAST VILLAGE,CENTRE
EAU CLAIRE,CENTRE
MCKENZIE LAKE,SOUTHEAST
MAYFAIR,CENTRE
ROSEDALE,CENTRE
MISSION,CENTRE
GLENBROOK,WEST
TUXEDO PARK,CENTRE
RED CARPET,EAST
ST. ANDREWS HEIGHTS,CENTRE
ELBOW PARK,CENTRE
COPPERFIELD,SOUTHEAST
SHAGANAPPI,CENTRE
PANORAMA HILLS,NORTH
DIAMOND COVE,SOUTH
HAYSBORO,SOUTH
DOVER,EAST
THORNCLIFFE,NORTH
ROCKY RIDGE,NORTHWEST
FOREST HEIGHTS,EAST
CRESCENT HEIGHTS,CENTRE
SANDSTONE VALLEY,NORTH
LAKE BONAVISTA,SOUTH
DOUGLASDALE/GLEN,SOUTHEAST
SOMERSET,SOUTH
RANCHLANDS,NORTHWEST
HOUNSFIELD HEIGHTS/BRIAR HILL,CENTRE
SUNDANCE,SOUTH
WESTGATE,WEST
SAGE HILL,NORTH
UNIVERSITY OF CALGARY,NORTHWEST
MARTINDALE,NORTHEAST
UPPER MOUNT ROYAL,CENTRE
COUNTRY HILLS,NORTH
EDGEMONT,NORTHWEST
KINCORA,NORTH
APPLEWOOD PARK,EAST
ERLTON,CENTRE
NOLAN HILL,NORTH
COACH HILL,WEST
COLLINGWOOD,NORTHWEST
ACADIA,SOUTH
HAWKWOOD,NORTHWEST
BONAVISTA DOWNS,SOUTH
QUEENSLAND,SOUTH
VARSITY,NORTHWEST
WOODLANDS,SOUTH
OAKRIDGE,SOUTH
GLAMORGAN,WEST
DALHOUSIE,NORTHWEST
ELBOYA,CENTRE
WINDSOR PARK,CENTRE
BOWNESS,NORTHWEST
WHITEHORN,NORTHEAST
PALLISER,SOUTH
SHAWNEE SLOPES,SOUTH
MARLBOROUGH PARK,NORTHEAST
MAHOGANY,SOUTHEAST
SPRUCE CLIFF,WEST
QUEENS PARK VILLAGE,CENTRE
PARKLAND,SOUTH
CASTLERIDGE,NORTHEAST
KINGSLAND,SOUTH
ALBERT PARK/RADISSON HEIGHTS,EAST
NORTH GLENMORE PARK,WEST
ERIN WOODS,EAST
ALTADORE,CENTRE
PINERIDGE,NORTHEAST
FOREST LAWN,EAST
WILLOW PARK,SOUTH
NEW BRIGHTON,SOUTHEAST
PARKDALE,CENTRE
ROSEMONT,CENTRE
MAYLAND HEIGHTS,NORTHEAST
SUNALTA,CENTRE
BRIDGELAND/RIVERSIDE,CENTRE
LAKEVIEW,WEST
VISTA HEIGHTS,NORTHEAST
NORTH HAVEN,NORTH
BEDDINGTON HEIGHTS,NORTH
WINSTON HEIGHTS/MOUNTVIEW,CENTRE
LEGACY,SOUTH
ABBEYDALE,NORTHEAST
SETON,SOUTHEAST
ROYAL OAK,NORTHWEST
CHINOOK PARK,SOUTH
MEADOWLARK PARK,CENTRE
CRANSTON,SOUTHEAST
RICHMOND,CENTRE
PARKHILL,CENTRE
SCENIC ACRES,NORTHWEST
ASPEN WOODS,WEST
ROXBORO,CENTRE
FALCONRIDGE,NORTHEAST
EVANSTON,NORTH
SHAWNESSY,SOUTH
SPRINGBANK HILL,WEST
SHERWOOD,NORTH
CORAL SPRINGS,NORTHEAST
SADDLE RIDGE,NORTHEAST
COVENTRY HILLS,NORTH
03D,NORTH
03W,NORTH
CARRINGTON,NORTH
LIVINGSTON,NORTH
ARBOUR LAKE,NORTHWEST
REDSTONE,NORTHEAST
SKYVIEW RANCH,NORTHEAST
03I,NORTHEAST
VALLEY RIDGE,WEST
UNIVERSITY DISTRICT,NORTHWEST
GARRISON WOODS,CENTRE
CORNERSTONE,NORTHEAST
YORKVILLE,SOUTH
SILVERADO,SOUTH
BELMONT,SOUTH
HIGHWOOD,CENTRE
EVERGREEN,SOUTH
BANFF TRAIL,CENTRE
